391;ASU;Silvio Pettirossi International Airport;Asunción, Paraguay
392;ASV;Amboseli Airport;Amboseli, Kenya
393;ASW;Aswan International Airport;Aswan, Egypt
394;ASX;John F. Kennedy Memorial Airport;Ashland, Wisconsin, United States
395;ASY;Ashley Municipal Airport;Ashley, North Dakota, United States
396;ASZ;Asirim Airport;Asirim, Papua New Guinea
397;ATA;Comandante FAP Germán Arias Graziani Airport;Huaraz, Peru
398;ATB;Atbara Airport;Atbara, Sudan
399;ATC;Arthur's Town Airport;Arthur's Town, Cat Island, Bahamas
400;ATD;Uru Harbour Airport;Atoifi, Malaita, Solomon Islands
401;ATE;Antlers Municipal Airport (FAA: 80F);Antlers, Oklahoma, United States
402;ATF;Chachoan Airport;Ambato, Ecuador
403;ATG;PAF Base Minhas;Attock, Pakistan
404;ATH;Athens International Airport (Eleftherios Venizelos Airport);Athens, Greece
405;ATI;Artigas International Airport;Artigas, Uruguay
406;ATJ;Antsirabe Airport;Antsirabe, Madagascar
407;ATK;Atqasuk Edward Burnell Sr. Memorial Airport;Atqasuk, Alaska, United States
408;ATL;Hartsfield–Jackson Atlanta International Airport;Atlanta, Georgia, United States
409;ATM;Altamira Airport;Altamira, Pará, Brazil
410;ATN;Namatanai Airport;Namatanai, Papua New Guinea
411;ATO;Ohio University Airport (Snyder Field) (FAA: UNI);Athens / Albany, Ohio, United States
412;ATP;Aitape Airstrip;Aitape, Papua New Guinea
413;ATQ;Sri Guru Ram Dass Jee International Airport;Amritsar, Punjab, India
414;ATR;Atar International Airport;Atar, Mauritania
415;ATS;Artesia Municipal Airport;Artesia, New Mexico, United States
416;ATT;Atmautluak Airport (FAA: 4A2);Atmautluak, Alaska, United States
417;ATU;Casco Cove Coast Guard Station;Attu Island, Alaska, United States
418;ATV;Ati Airport;Ati, Chad
419;ATW;Appleton International Airport;Appleton, Wisconsin, United States
420;ATX;Atbasar Airport;Atbasar, Kazakhstan
421;ATY;Watertown Regional Airport;Watertown, South Dakota, United States
422;ATZ;Assiut Airport;Assiut, Egypt
423;AUA;Queen Beatrix International Airport;Aruba, Kingdom of the Netherlands
424;AUC;Santiago Pérez Quiroz Airport;Arauca, Colombia
425;AUD;Augustus Downs Airport;Augustus Downs, Queensland, Australia
426;AUE;Abu Rudeis Airport;Abu Rudeis, Egypt
427;AUF;Auxerre – Branches Aerodrome;Auxerre, Burgundy, France
428;AUG;Augusta State Airport;Augusta, Maine, United States
429;AUH;Abu Dhabi International Airport;Abu Dhabi, United Arab Emirates
430;AUI;Aua Island Airport;Aua Island, Papua New Guinea
431;AUJ;Ambunti Airport;Ambunti, Papua New Guinea
432;AUK;Alakanuk Airport;Alakanuk, Alaska, United States
433;AUL;Aur Airport;Aur Atoll, Marshall Islands
434;AUM;Austin Municipal Airport;Austin, Minnesota, United States
435;AUN;Auburn Municipal Airport;Auburn, California, United States
436;AUO;Auburn University Regional Airport;Auburn, Alabama, United States
437;AUP;Agaun Airport;Agaun, Papua New Guinea
438;AUQ;Atuona Airport;Atuona, Marquesas Islands, French Polynesia
439;AUR;Aurillac – Tronqui?res Airport;Aurillac, Auvergne, France
440;AUS;Austin–Bergstrom International Airport;Austin, Texas, United States
441;AUT;Atauro Airport;Atauro Island, East Timor
442;AUU;Aurukun Airport;Aurukun, Queensland, Australia
443;AUV;Aumo Airport;Aumo, Papua New Guinea
444;AUW;Wausau Downtown Airport;Wausau, Wisconsin, United States
445;AUX;Araguaína Airport;Araguaína, Tocantins, Brazil
446;AUY;Anatom Airport;Anatom Island, Tafea, Vanuatu
